Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
182,42.59,-28304.80,-524.162963,0.478579,-0.857402,-3.151672,42.592592592592595,32.4225,54,183
131,42.47,-36805.50,-504.184932,0.456893,-0.901323,-2.690109,42.465753424657535,40.2751,73,132
155,42.37,-31301.39,-530.532034,0.448348,-0.864878,-2.588456,42.372881355932201,35.7738,59,156
130,41.89,-38147.27,-515.503649,0.447577,-0.905467,-2.829338,41.891891891891895,41.5523,74,131
129,41.89,-38164.10,-515.731081,0.447404,-0.893016,-2.819897,41.891891891891895,41.8098,74,130
186,41.82,-29853.28,-542.786909,0.464071,-0.865306,-3.336597,41.818181818181813,33.8839,55,187
185,41.82,-29853.28,-542.786909,0.464071,-0.865306,-3.336597,41.818181818181813,33.8839,55,186
184,41.82,-29779.99,-541.454364,0.464841,-0.864820,-3.297156,41.818181818181813,33.8197,55,185
156,41.67,-32674.22,-544.570333,0.432456,-0.893932,-2.702774,41.666666666666671,36.4653,60,157
173,41.07,-31107.66,-555.493929,0.443535,-0.886854,-3.509507,41.071428571428569,34.9936,56,174
157,40.68,-33398.90,-566.083051,0.416439,-0.897054,-2.859000,40.677966101694921,37.1444,59,158
158,39.66,-34316.49,-591.663621,0.395345,-0.900381,-3.029432,39.655172413793103,38.0238,58,159
181,39.62,-31446.75,-593.334906,0.418715,-0.892969,-3.605077,39.622641509433961,34.8637,53,182
180,39.62,-31446.75,-593.334906,0.418715,-0.892969,-3.605077,39.622641509433961,34.8637,53,181
166,39.29,-33478.47,-597.829821,0.406191,-0.897240,-3.556426,39.285714285714285,37.2246,56,167
177,38.60,-34720.71,-609.135263,0.400243,-0.903978,-3.821803,38.596491228070171,38.0246,57,178
176,38.60,-34720.71,-609.135263,0.400243,-0.903978,-3.821803,38.596491228070171,38.0246,57,177
175,38.60,-34718.39,-609.094561,0.400407,-0.902233,-3.782926,38.596491228070171,38.3896,57,176
174,38.60,-34721.37,-609.146842,0.400464,-0.902241,-3.850653,38.596491228070171,38.3926,57,175
159,38.60,-35041.77,-614.767895,0.382415,-0.903309,-3.168986,38.596491228070171,38.7016,57,160
179,38.18,-34176.16,-621.384727,0.395559,-0.903266,-3.892889,38.181818181818187,37.4578,55,180
178,38.18,-34185.92,-621.562182,0.395385,-0.902029,-3.885814,38.181818181818187,37.5198,55,179
172,38.18,-34348.07,-624.510364,0.389772,-0.900663,-3.721828,38.181818181818187,38.0464,55,173
171,38.18,-34385.14,-625.184364,0.389410,-0.900759,-3.682190,38.181818181818187,38.0833,55,172
170,38.18,-34385.14,-625.184364,0.389410,-0.900759,-3.682190,38.181818181818187,38.0833,55,171
169,38.18,-34385.14,-625.184364,0.389410,-0.900759,-3.682190,38.181818181818187,38.0833,55,170
168,38.18,-34361.34,-624.751636,0.386179,-0.900698,-3.700752,38.181818181818187,38.0596,55,169
167,38.18,-34369.20,-624.894545,0.385935,-0.900718,-3.700481,38.181818181818187,38.0674,55,168
165,36.84,-36850.72,-646.503860,0.360813,-0.909791,-3.576391,36.84210526315789,40.4089,57,166
164,36.84,-36868.15,-646.809649,0.360633,-0.909861,-3.576019,36.84210526315789,40.4255,57,165
162,36.84,-36914.30,-647.619298,0.354793,-0.909964,-3.542103,36.84210526315789,40.4715,57,163
161,36.84,-36910.23,-647.547895,0.354993,-0.909955,-3.538729,36.84210526315789,40.4675,57,162
160,36.84,-36988.22,-648.916140,0.354318,-0.910128,-3.517208,36.84210526315789,40.5453,57,161
163,35.71,-37640.48,-672.151429,0.341233,-0.912344,-3.657661,35.714285714285715,41.1600,56,164
0,0,0.00,0,,0,0,0,0.0000,0,1
