Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpFastEMA,InpSlowEMA,InpSignalSMA
143,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,241,76
142,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,136
141,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,181,106
140,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,226,106
139,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,241,151
137,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,61,211,241
136,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,106
138,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,121,136
134,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,226,151
135,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,121
132,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,226,286
133,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,121,76
131,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,16
129,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,211
126,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,151,31
128,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,241
130,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,241,226
125,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,46
127,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,61,46
123,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,226
124,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,1
121,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,46,76,1
122,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,151,31,196
